id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2164641,Urlaub im wilden Paradies/ Apt. 2,10679663,Katharina,,Artà,39.70118863213547,3.3502290820362437,Private room,55,5,4,2016-09-12,0.18,2,293
2620645,TIPICA CASA DE PIEDRA  SITA   ARTA,12483174,Mar,,Artà,39.691506613052674,3.3509246474175485,Entire home/apt,150,6,2,2016-08-21,0.11,3,226
16182655,La Granja - Cozy house for 4 adults + 2 children,3296019,Marc,,Artà,39.675834649248166,3.348466728305151,Entire home/apt,108,5,0,,,87,339
12994657,Sa Barqueta,4046511,Happymallorca   Rentals,,Artà,39.73290565481899,3.258702540796497,Entire home/apt,145,7,0,,,38,282
2452993,Piso de 100 m con mucho carácter,7037571,Pascual,,Artà,39.695337885618706,3.350301600157815,Entire home/apt,60,7,4,2016-08-08,0.23,2,326
13692649,Acogedora suite familiar  en el Centro de Artà,66910673,Carlos,,Artà,39.696386757691855,3.3524886719217903,Private room,105,3,0,,,6,352
9072502,Finca 'Sa Corbailla' - Artà,47318229,Ida,,Artà,39.67802412987495,3.372254459376357,Entire home/apt,349,6,2,2016-09-01,0.26,1,364
2093072,Urlaub im wilden Paradies/ Apt. 1,10679663,Katharina,,Artà,39.697949244755,3.352358417753522,Private room,49,5,27,2016-10-17,0.79,2,283
15560755,Apartamento Sa Gruta del Agroturismo S´Arboçar,99613016,Mallorca Privilege,,Artà,39.64989043300665,3.3004858559310164,Entire home/apt,170,4,0,,,16,172
5951568,HOUSE IN THE HEART OF MALLORCA,30896456,Pep,,Artà,39.732349778647475,3.2736240408050814,Entire home/apt,150,5,7,2016-08-31,0.32,1,256
11726993,Dalca -  Vintage Style Chalet with sea views,3625030,Angela,,Artà,39.734360293894404,3.2598126376771557,Entire home/apt,153,7,1,2016-07-16,0.12,752,287
13856951,FINCA SA CORBAIA,8130624,Catalina,,Artà,39.68724844462788,3.350533866873776,Entire home/apt,235,7,1,2016-08-07,0.14,30,203
17322402,Sa Corbaia. Magnífica casa con piscina.,14790157,Vero,,Artà,39.69475497710549,3.349588578593724,Entire home/apt,175,5,0,,,11,296
4223536,Finca Jalami,21918697,Caty,,Artà,39.681067619380535,3.3691008612431355,Entire home/apt,60,6,0,,,1,196
